Nombre Completo;Cuenta;Telefono;Plan;Descripcion Plan;Simcard
PRECISOGPS S.A.S.;1.20013636;990623654;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515382'
PRECISOGPS S.A.S.;1.20013636;990626014;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431373'
PRECISOGPS S.A.S.;1.20013636;991318184;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431381'
PRECISOGPS S.A.S.;1.20013636;991337294;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527346'
PRECISOGPS S.A.S.;1.20013636;991434738;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515390'
PRECISOGPS S.A.S.;1.20013636;991482974;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431399'
PRECISOGPS S.A.S.;1.20013636;991641328;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515408'
PRECISOGPS S.A.S.;1.20013636;991666114;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431407'
PRECISOGPS S.A.S.;1.20013636;991932768;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514930'
PRECISOGPS S.A.S.;1.20013636;992386904;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515440'
PRECISOGPS S.A.S.;1.20013636;985387678;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514724'
PRECISOGPS S.A.S.;1.20013636;985388654;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431233'
PRECISOGPS S.A.S.;1.20013636;985403054;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431241'
PRECISOGPS S.A.S.;1.20013636;985505454;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431258'
PRECISOGPS S.A.S.;1.20013636;992421084;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000928431415'
PRECISOGPS S.A.S.;1.20013636;992438264;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515457'
PRECISOGPS S.A.S.;1.20013636;992451628;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927514971'
PRECISOGPS S.A.S.;1.20013636;992459688;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515465'
PRECISOGPS S.A.S.;1.20013636;992462434;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527361'
PRECISOGPS S.A.S.;1.20013636;992487154;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927527379'
PRECISOGPS S.A.S.;1.20013636;992494084;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000927515473'
PRECISOGPS S.A.S.;1.20013636;980541463;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001025790422'
PRECISOGPS S.A.S.;1.20013636;986845460;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344345'
PRECISOGPS S.A.S.;1.20013636;993642167;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344360'
PRECISOGPS S.A.S.;1.20013636;999542324;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344428'
PRECISOGPS S.A.S.;1.20013636;994184787;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344394'
PRECISOGPS S.A.S.;1.20013636;986857870;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344246'
PRECISOGPS S.A.S.;1.20013636;993641956;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344378'
PRECISOGPS S.A.S.;1.20013636;997498281;BP-9980;CLARO EMPRESA BAM 1.5;'8959301001090344352'
PRECISOGPS S.A.S.;1.20013636;994161100;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874545'
PRECISOGPS S.A.S.;1.20013636;994159768;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874529'
PRECISOGPS S.A.S.;1.20013636;994162391;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874560'
PRECISOGPS S.A.S.;1.20013636;994162515;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874578'
PRECISOGPS S.A.S.;1.20013636;994163323;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874586'
PRECISOGPS S.A.S.;1.20013636;997491024;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874875'
PRECISOGPS S.A.S.;1.20013636;999387224;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874891'
PRECISOGPS S.A.S.;1.20013636;994164985;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874636'
PRECISOGPS S.A.S.;1.20013636;994165208;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874644'
PRECISOGPS S.A.S.;1.20013636;994168033;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874693'
PRECISOGPS S.A.S.;1.20013636;994170335;BP-9980;CLARO EMPRESA BAM 1.5;'8959301000971874743'
